genres,original_title,director,production_companies
drama,For Colored Girls,Tyler Perry,Lions Gate Films
"action,crime,thriller",The Transporter,Louis Leterrier,"TF1 Films Productions,Current Entertainment,Canal+,EuropaCorp"
"action,drama",Never Back Down,Jeff Wadlow,"Summit Entertainment,Mandalay Pictures,Baumgarten Management and Productions (BMP)"
"horror,science fiction,thriller",The Rage: Carrie 2,Katt Shea,"United Artists,Red Bank Films"
"comedy,drama,romance",Away We Go,Sam Mendes,"Neal Street Productions,Focus Features,Big Beach Films"
"comedy,drama",Swing Vote,Joshua Michael Stern,Touchstone Pictures
"drama,romance",Moonlight Mile,Brad Silberling,"Punch Productions,Touchstone Pictures,Hyde Park Entertainment,Reveal Entertainment,Gran Via"
"drama,mystery,thriller",Tinker Tailor Soldier Spy,Tomas Alfredson,"StudioCanal,Kinowelt Filmproduktion,Canal+,CinéCinéma,Working Title Films,Karla Films"
"comedy,drama,romance",Molly,John Duigan,"Metro-Goldwyn-Mayer (MGM),Absolute Entertainment (II),Cockamamie,Heckerling-Caplan"
drama,The Beaver,Jodie Foster,"Summit Entertainment,Participant Media,Imagenation Abu Dhabi FZ,Anonymous Content"
comedy,The Best Little Whorehouse in Texas,Colin Higgins,"Universal Pictures,RKO"
"action,horror,science fiction,thriller",eXistenZ,David Cronenberg,"Alliance Atlantis Communications,Natural Nylon Entertainment,Serendipity Point Films,Téléfilm Canada,The Harold Greenberg Fund,The Movie Network,Union Générale Cinématographique,Canadian Television Fund"
"action,adventure",Raiders of the Lost Ark,Steven Spielberg,"Lucasfilm,Paramount Pictures"
"adventure,comedy,crime,family",Home Alone 2: Lost in New York,Chris Columbus,"Twentieth Century Fox Film Corporation,Hughes Entertainment"
"drama,science fiction",Close Encounters of the Third Kind,Steven Spielberg,"Columbia Pictures Corporation,EMI Films,Julia Phillips and Michael Phillips Productions"
"horror,thriller",Pulse,Jim Sonzero,Dimension Films
"action,comedy,crime",Beverly Hills Cop II,Tony Scott,"Paramount Pictures,Eddie Murphy Productions,Don Simpson/Jerry Bruckheimer Films"
comedy,Bringing Down the House,Adam Shankman,"Hyde Park Films,Touchstone Pictures"
"crime,drama,thriller",The Silence of the Lambs,Jonathan Demme,"Orion Pictures,Strong Heart/Demme Production"
"comedy,music",Wayne's World,Penelope Spheeris,Paramount Pictures
"action,comedy,documentary",Jackass 3D,Jeff Tremaine,MTV Films
"horror,thriller",Jaws 2,Jeannot Szwarc,Universal Pictures
"adventure,comedy,family",Beverly Hills Chihuahua,Raja Gosnell,Walt Disney Pictures
"horror,thriller",The Conjuring,James Wan,"New Line Cinema,The Safran Company,Evergreen Media Group"
"adventure,comedy,family,romance",Are We There Yet?,Brian Levant,"Columbia Pictures,Revolution Studios,Cube Vision"
comedy,Tammy,Ben Falcone,"New Line Cinema,Gary Sanchez Productions"
"comedy,music",School of Rock,Richard Linklater,"Paramount Pictures,Scott Rudin Productions,Nickelodeon Movies,NEW Century,MFP Munich Film Partners GmbH & Company I. Produktions KG,Sor Productions"
"action,fantasy",Mortal Kombat,Paul W.S. Anderson,"New Line Cinema,Threshold Entertainment"
comedy,White Chicks,Keenen Ivory Wayans,"Columbia Pictures,Revolution Studios,Wayans Bros. Entertainment,Gone North Productions"
"comedy,drama",The Descendants,Alexander Payne,"Fox Searchlight Pictures,Dune Entertainment,Ad Hominem Enterprises"
"adventure,comedy,drama,family",Holes,Andrew Davis,"Walt Disney Pictures,Chicago Pacific Entertainment,Walden Media,Phoenix Pictures"
"drama,family,romance",The Last Song,Julie Anne Robinson,Touchstone Pictures
"drama,history",12 Years a Slave,Steve McQueen,"Plan B Entertainment,Regency Enterprises,River Road Entertainment,Film4,New Regency Pictures"
"comedy,drama,music,romance",Drumline,Charles Stone III,Fox 2000 Pictures
"comedy,romance",Why Did I Get Married Too?,Tyler Perry,"Lions Gate Films,The Tyler Perry Company"
"drama,fantasy,romance",Edward Scissorhands,Tim Burton,Twentieth Century Fox Film Corporation
"drama,romance",Me Before You,Thea Sharrock,"New Line Cinema,Sunswept Entertainment,Metro-Goldwyn-Mayer (MGM)"
"comedy,crime,drama",Madea's Witness Protection,Tyler Perry,"Tyler Perry Company, The"
"action,crime,thriller",The French Connection,William Friedkin,"Twentieth Century Fox Film Corporation,D'Antoni Productions,Schine-Moore Productions"
comedy,Bad Moms,Jon Lucas,"STX Entertainment,Huayi Brothers Pictures,BillBlock Media"
comedy,Date Movie,Jason Friedberg,"Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures"
"adventure,animation,family,fantasy",Return to Never Land,Robin Budd,"Walt Disney Pictures,Walt Disney Television Animation,Walt Disney Animation Australia,DisneyToon Studios,Walt Disney Animation Canada"
"drama,history",Selma,Ava DuVernay,"Plan B Entertainment,Harpo Films,Celador Films,Cloud Eight Films,Pathé"
"adventure,animation,family",The Jungle Book 2,Steve Trenbirth,"Walt Disney Pictures,Walt Disney Television Animation,Walt Disney Animation Australia,DisneyToon Studios"
"drama,horror,mystery,thriller",Boogeyman,Stephen T. Kay,"Ghost House Pictures,Senator International,Screen Gems,Pacific Renaissance Pictures Ltd."
"drama,mystery,thriller",Premonition,Mennan Yapo,"TriStar Pictures,Hyde Park Films,Offspring Entertainment"
"animation,family",The Tigger Movie,Jun Falkenstein,Walt Disney Pictures
"horror,mystery,thriller",Orphan,Jaume Collet-Serra,"Dark Castle Entertainment,Studio Babelsberg StudioBabelsberg Motion Pictures,Don Carmody Productions,Studio Canal"
"adventure,drama,family",Max,Boaz Yakin,"Sunswept Entertainment,Warner Bros.,Metro-Goldwyn-Mayer (MGM),Reel Chefs Catering"
"action,adventure,comedy",Epic Movie,Jason Friedberg,"Twentieth Century Fox Film Corporation,Regency Enterprises,New Regency Pictures,Paul Schiff Productions"
"drama,history,thriller",Spotlight,Tom McCarthy,"Universal Pictures,Participant Media,Anonymous Content,Rocklin / Faust,First Look Media"
"crime,drama,thriller",Lakeview Terrace,Neil LaBute,"Screen Gems,Overbrook Entertainment"
"horror,thriller",The Grudge 2,Takashi Shimizu,"Columbia Pictures Corporation,Ghost House Pictures,Vertigo Entertainment"
"comedy,drama,romance",How Stella Got Her Groove Back,Kevin Rodney Sullivan,Twentieth Century Fox Film Corporation
"adventure,comedy,family,fantasy,science fiction",Bill & Ted's Bogus Journey,Peter Hewitt,"Orion Pictures,Nelson Entertainment"
"comedy,drama,romance,thriller",Man of the Year,Barry Levinson,"Universal Pictures,Morgan Creek Productions"
"action,adventure,family,science fiction",The Black Hole,Gary Nelson,Walt Disney Productions
"crime,drama,thriller",The American,Anton Corbijn,"This Is That Productions,Focus Features,Twins Financing,Smokehouse Pictures,Greenlit Rights"
drama,Selena,Gregory Nava,"Q Productions,Esparza / Katz Productions"
"comedy,horror",Vampires Suck,Jason Friedberg,"Regency Enterprises,Road Rebel"
drama,Babel,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"Paramount Vantage,Media Rights Capital,Anonymous Content,Central Films"
"comedy,drama",This Is Where I Leave You,Shawn Levy,"Spring Creek Productions,21 Laps Entertainment,Warner Bros."
"drama,mystery",Doubt,John Patrick Shanley,"Scott Rudin Productions,Goodspeed Productions"
"action,adventure,animation,comedy,music",Team America: World Police,Trey Parker,"Paramount Pictures,Scott Rudin Productions"
"horror,thriller",Texas Chainsaw 3D,John Luessenhop,"Nu Image Films,Lions Gate"
"drama,thriller",Copycat,Jon Amiel,"Regency Enterprises,New Regency Pictures"
comedy,Scary Movie 5,Malcolm D. Lee,Dimension Films
"action,comedy,drama,music,western",Paint Your Wagon,Joshua Logan,"Paramount Pictures,Malpaso Productions,Alan Jay Lerner Productions"
"drama,history",Milk,Gus Van Sant,Focus Features
action,Risen,Kevin Reynolds,"Columbia Pictures,Affirm Films,LD Entertainment,Patrick Aiello Productions"
"horror,mystery,thriller",Ghost Ship,Steve Beck,"Village Roadshow Pictures,NPV Entertainment,Dark Castle Entertainment,Warner Bros.,Ghost Ship Films Pty. Ltd."
comedy,A Very Harold & Kumar Christmas,Todd Strauss-Schulson,"New Line Cinema,Mandate Pictures"
"crime,drama,mystery",Wild Things,John McNaughton,"Columbia Pictures,Mandalay Entertainment"
"horror,mystery,thriller",The Stepfather,Nelson McCormick,Screen Gems
"drama,thriller",The Debt,John Madden,"Miramax Films,Marv Films,Pioneer Pictures"
"comedy,drama,music,romance",High Fidelity,Stephen Frears,"Buena Vista,Touchstone Pictures"
"horror,mystery,thriller",One Missed Call,Eric Valette,"Intermedia Films,Alcon Entertainment,Kadokawa Pictures,Equity Pictures Medienfonds GmbH & Co. KG IV"
"drama,thriller",Eye for an Eye,John Schlesinger,Paramount Pictures
"crime,drama,thriller",The Bank Job,Roger Donaldson,"Atlas Entertainment,Mosaic Media Group,Omnilab Media,Relativity Media,Skyline (Baker St)"
"drama,romance,science fiction",Eternal Sunshine of the Spotless Mind,Michel Gondry,"Anonymous Content,This Is That Productions,Focus Features"
"comedy,romance",You Again,Andy Fickman,"Oops Doughnuts Productions,Touchstone Pictures,Frontier Pictures"
"action,crime,drama,thriller",Street Kings,David Ayer,"Fox Searchlight Pictures,Regency Enterprises,Dune Entertainment III,Emmett/Furla Films"
"action,comedy,science fiction",The World's End,Edgar Wright,"Universal Pictures,Big Talk Productions,Focus Features,Working Title Films"
"action,adventure,crime,family,mystery",Nancy Drew,Andrew Fleming,"Virtual Studios,Jerry Weintraub Productions,Warner Bros."
"action,fantasy,horror,science fiction,thriller",Daybreakers,Michael Spierig,"Lionsgate,Furst Films,Pictures in Paradise,Pacific Film and Television Commission,Australian Film Finance Corporation (AFFC)"
"comedy,romance",She's Out of My League,Jim Field Smith,"DreamWorks SKG,Mosaic"
"adventure,comedy,romance",Monte Carlo,Thomas Bezucha,"Dune Entertainment,Regency Enterprises,Fox 2000 Pictures,DiNovi Pictures,Dune Entertainment III,Blossom Films"
"horror,thriller",Stay Alive,William Brent Bell,"Spyglass Entertainment,Hollywood Pictures,Endgame Entertainment,Wonderland Sound and Vision"
"action,adventure,drama,romance,western",Quigley Down Under,Simon Wincer,"Pathe,Metro-Goldwyn-Mayer (MGM)"
"animation,family",Alpha and Omega,Ben Gluck,"Lions Gate Family Entertainment,Relativity Media,Crest Animation Productions"
"action,adventure,fantasy,horror,science fiction",The Covenant,Renny Harlin,"Screen Gems, Inc."
"comedy,drama",Stick It,Jessica Bendinger,"Spyglass Entertainment,Touchstone Pictures,Kaltenbach Pictures"
"comedy,family",Shorts,Robert Rodriguez,Warner Bros. Pictures
"comedy,drama,fantasy,thriller",To Die For,Gus Van Sant,"The Rank Organisation,Columbia Pictures Corporation"
"adventure,crime,mystery",Nerve,Henry Joost,"Lionsgate,Allison Shearmur Productions,Keep Your Head"
"crime,drama,western",Appaloosa,Ed Harris,"New Line Cinema,Groundswell Productions,Axon Films"
"action,drama,fantasy,horror,thriller",Vampires,John Carpenter,"Columbia Pictures,Largo Entertainment,JVC Entertainment Networks,Film Office,Spooky Tooth Productions,Storm King Productions"
"drama,horror,thriller",Psycho,Alfred Hitchcock,"Paramount Pictures,Universal Pictures,Shamley Productions"
"comedy,romance",My Best Friend's Girl,Howard Deutch,"Lionsgate,New Wave Entertainment,Management 360,Terra Firma Films,Superfinger Entertainment"
"drama,romance",Endless Love,Shana Feste,"Universal Pictures,Fake Empire,Bluegrass Films"
"comedy,drama,romance",Georgia Rule,Garry Marshall,"Universal Pictures,Morgan Creek Productions"
comedy,Under the Rainbow,Steve Rash,
"adventure,drama,fantasy,romance",Ladyhawke,Richard Donner,"Twentieth Century Fox Film Corporation,Warner Bros."
"comedy,drama,family",Simon Birch,Mark Steven Johnson,"Caravan Pictures,Hollywood Pictures"
drama,Reign Over Me,Mike Binder,"Columbia Pictures,Happy Madison Productions,Sunlight Productions,Relativity Media,Madison 23"
"adventure,drama",Into the Wild,Sean Penn,"Paramount Vantage,River Road Entertainment,Art Linson Productions,Into the Wild"
"comedy,drama,romance",School for Scoundrels,Todd Phillips,Dimension Films
"horror,mystery,thriller",Silent Hill: Revelation 3D,Michael J. Bassett,"Davis-Films,Konami Corporation Ltd."
"action,crime,horror,thriller",From Dusk Till Dawn,Robert Rodriguez,"A Band Apart,Dimension Films,Los Hooligans Productions,Miramax"
"animation,family",Pooh's Heffalump Movie,Frank Nissen,Walt Disney Pictures
"comedy,drama,romance",Home for the Holidays,Jodie Foster,"Paramount Pictures,Egg Pictures,PolyGram Filmed Entertainment"
"action,comedy,crime,fantasy",功夫,Stephen Chow,Columbia Pictures
"adventure,comedy,family",The Country Bears,Peter Hastings,Walt Disney Pictures
drama,The Kite Runner,Marc Forster,"DreamWorks SKG,MacDonald/Parkes Productions,Sidney Kimmel Entertainment,Neal Street Productions,China Film Co-Production Corporation,Wonderland Films,Participant Media,Ebeling Group,Beijing Happy Pictures Cultural Communications Co.,Kite Runner Holdings"
"crime,drama,thriller",21 Grams,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"This Is That Productions,Y Productions,Mediana Productions Filmgesellschaft"
"action,drama,thriller",Paparazzi,Paul Abascal,"Icon Productions,Twentieth Century Fox Film Corporation,Icon Entertainment International"
"comedy,romance",A Guy Thing,Chris Koch,"Metro-Goldwyn-Mayer (MGM),David Ladd Films"
"comedy,drama,family,romance",Loser,Amy Heckerling,Columbia Pictures
documentary,Capitalism: A Love Story,Michael Moore,"The Weinstein Company,Paramount Vantage"
"drama,history",The Greatest Story Ever Told,George Stevens,George Stevens Productions
"crime,drama,mystery",Secret in Their Eyes,Billy Ray,"Ingenious Media,Gran Via Productions,IM Global,STX Entertainment,Route One Entertainment,Union Investment Partners,SITE Productions,Willie's Movies"
"action,comedy",Disaster Movie,Jason Friedberg,"Grosvenor Park Media Ltd.,LionsGate,3 in the Box"
"action,crime,drama,thriller",Armored,Nimr\u00f3d Antal,"Screen Gems,Stars Road Entertainment,Farah Films & Management,Buckaroo Entertainment"
"action,comedy,crime,thriller",The Man Who Knew Too Little,Jon Amiel,"Regency Enterprises,Taurus Films,Polar Productions,Warner Bros."
"comedy,romance",What's Your Number?,Mark Mylod,"Regency Enterprises,Contrafilm,New Regency Pictures"
"action,science fiction,thriller",Lockout,Stephen St. Leger,"Canal+,EuropaCorp,Ciné+"
comedy,Envy,Barry Levinson,"Columbia Pictures,Castle Rock Entertainment,NPV Entertainment,DreamWorks Pictures,Baltimore Spring Creek Productions,Nu Image / Millennium Films"
"action,crime,thriller",Crank: High Voltage,Brian Taylor,"Lakeshore Entertainment,Lionsgate,Radical Media"
"action,comedy,thriller",Bullets Over Broadway,Woody Allen,Miramax Films
drama,One Night with the King,Michael O. Sajbel,Gener8Xion Entertainment
"action,drama,romance,thriller",The Quiet American,Phillip Noyce,"Miramax Films,Intermedia Films,Mirage Enterprises"
"comedy,drama",The Weather Man,Gore Verbinski,"Paramount Pictures,Escape Artists,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG"
"action,adventure,drama,thriller",Undisputed,Walter Hill,"Miramax Films,Amen Ra Films"
"comedy,fantasy,romance",Ghost Town,David Koepp,"DreamWorks SKG,Spyglass Entertainment,Pariah"
"action,adventure,drama,thriller",12 Rounds,Renny Harlin,"The Mark Gordon Company,Fox Atomic,20th Century Fox Home Entertainment,WWE Studios,Midnight Sun Pictures"
"drama,horror,mystery",Let Me In,Matt Reeves,"Hammer Film Productions,EFTI,Exclusive Media Group,Overture Films"
"action,adventure,comedy,family",3 Ninjas Kick Back,Charles T. Kanganis,"TriStar Pictures,Sheen Productions,Ben-Ami/Leeds Productions"
"comedy,drama",Be Kind Rewind,Michel Gondry,"New Line Cinema,Partizan,Focus Features"
"comedy,drama",Mrs Henderson Presents,Stephen Frears,
"action,thriller",Triple 9,John Hillcoat,"Worldview Entertainment,Anonymous Content,MadRiver Pictures,Sierra Pictures,Surefire Capital"
"comedy,drama",Deconstructing Harry,Woody Allen,Fine Line Features
"comedy,romance",Three to Tango,Damon Santostefano,"Village Roadshow Pictures,Warner Bros."
drama,Burnt,John Wells,"Double Feature Films,PeaPie Films,3 Arts Entertainment"
"comedy,crime,drama",We're No Angels,Neil Jordan,Paramount Pictures
"comedy,music,romance",Everyone Says I Love You,Woody Allen,Miramax Films
"action,crime,drama,thriller",Death Sentence,James Wan,"Twentieth Century Fox Film Corporation,Dune Entertainment,Baldwin Entertainment Group,Hyde Park Entertainment,Brass Hat Films"
drama,Everybody's Fine,Kirk Jones,"Miramax Films,Hollywood Gang Productions,Radar Pictures"
"comedy,family",Superbabies: Baby Geniuses 2,Bob Clark,"Crystal Sky Worldwide,Triumph Films"
"action,comedy,crime",The Man,Les Mayfield,New Line Cinema
"action,comedy,crime",Code Name: The Cleaner,Les Mayfield,New Line Cinema
comedy,Connie and Carla,Michael Lembeck,Universal Pictures
"comedy,drama,music,romance",Sweet Charity,Bob Fosse,Universal Pictures
"comedy,crime,drama,mystery,romance",Inherent Vice,Paul Thomas Anderson,"Ghoulardi Film Company,Warner Bros.,IAC Films"
family,Doogal,Frank Passingham,
"drama,music",Battle of the Year,Benson Lee,Screen Gems
"comedy,fantasy",An American Carol,David Zucker,Mpower Pictures
"action,crime,thriller",Machete Kills,Robert Rodriguez,"Open Road Films,Overnight Films,AR Films,Aldamisa Entertainment,Demarest Films,1821 Pictures,Quick Draw Productions"
horror,Willard,Glen Morgan,"New Line Cinema,Hard Eight Pictures"
comedy,Strange Wilderness,Fred Wolf,"Paramount Pictures,Happy Madison Productions,Pelican Productions LLC"
"comedy,drama,music",Topsy-Turvy,Mike Leigh,"Newmarket Capital Group,Goldwyn Films,The Greenlight Fund,Thin Man Films"
"comedy,drama,war",Little Boy,Alejandro Monteverde,"Metanoia Films,Santa Fé Films"
"drama,thriller",A Dangerous Method,David Cronenberg,"Recorded Pictures Company,The Movie Network,Millbrook Pictures,Prospero Pictures,Lago Film,Dangerous Method Film AG"
"animation,science fiction,thriller",A Scanner Darkly,Richard Linklater,"Thousand Words,Warner Independent Pictures (WIP),Detour Filmproduction,Section Eight Productions"
drama,Chasing Mavericks,Curtis Hanson,"Fox 2000 Pictures,Walden Media"
"action,fantasy,horror,thriller",Alone in the Dark,Uwe Boll,"Boll Kino Beteiligungs GmbH & Co. KG,Brightlight Pictures,Herold Productions,Lionsgate,Infogrames Entertainment"
"comedy,drama,family,music",Bandslam,Todd Graff,"Summit Entertainment,Goldsmith-Thomas Productions,Walden Media"
"drama,mystery,thriller",Birth,Jonathan Glazer,"Fine Line Features,New Line Cinema,Lou Yi Inc.,Academy Films,March Entertainment"
"crime,drama,thriller",A Most Violent Year,J.C. Chandor,"Participant Media,Imagenation Abu Dhabi FZ,FilmNation Entertainment,Before the Door Pictures,Washington Square Films,A24,Old Bull Pictures"
"drama,history,romance,war",Passchendaele,Paul Gross,"Rhombus Media,Damberger Film & Cattle Co,Whizbang Films,Bell Broadcast and New Media Fund"
drama,Flash of Genius,Marc Abraham,"Universal Pictures,Spyglass Entertainment,Strike Entertainment,Intermittent Productions"
"drama,music",I'm Not There.,Todd Haynes,"Endgame Entertainment,Rising Star,Killer Films,John Wells Productions,Dreamachine,Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I),Grey Water Park Productions,John Goldwyn Productions,Wells Productions"
"action,thriller",The Cold Light of Day,Mabrouk El Mechri,"Summit Entertainment,Intrepid Pictures,Film Rites,Galavis Film,Picture Machine,Fria Luz Del Dia, A.I.E."
"adventure,comedy,drama,romance",The Brothers Bloom,Rian Johnson,"The Weinstein Company,Summit Entertainment,Endgame Entertainment"
drama,"Synecdoche, New York",Charlie Kaufman,Likely Story
"adventure,animation,fantasy",もののけ姫,Hayao Miyazaki,"Miramax Films,Studio Ghibli,Nibariki,Nippon Television Network (NTV)"
"comedy,drama",Bon voyage,Jean-Paul Rappeneau,
"comedy,music",Can't Stop the Music,Nancy Walker,EMI Films
"action,adventure,crime,drama,thriller",The Proposition,John Hillcoat,"Autonomous,UK Film Council,Surefire Film Productions,Pictures in Paradise,Pacific Film and Television Commission,Film Consortium,National Lottery through UK Film Council"
drama,My All American,Angelo Pizzo,"Paul Schiff Productions,Anthem Productions"
comedy,Marci X,Richard Benjamin,Paramount Pictures
"action,science fiction,thriller",Equilibrium,Kurt Wimmer,"Dimension Films,Blue Tulip Productions"
"drama,war",黃石的孩子,Roger Spottiswoode,"Australian Film Finance Corporation,Zero Fiction Film,Ming Productions,Bluewater Pictures,Cheerland Entertainment Organization"
"action,crime,drama,thriller",The Yards,James Gray,"Miramax Films,Industry Entertainment"
family,The Oogieloves in the Big Balloon Adventure,Matthew Diamond,
"drama,romance",By the Sea,Angelina Jolie,"Plan B Entertainment,Jolie Pas,Pellikola"
"animation,fantasy,science fiction",Steamboy,Katsuhiro \u014ctomo,"Bandai Visual Company,Sunrise,Studio 4°C"
drama,The Game of Their Lives,David Anspaugh,"Bristol Bay Productions,Baldwin Entertainment Group,Crusader Entertainment,Independent Film Channel,Peter Newman/Interal"
"crime,drama,mystery,romance,thriller",All Good Things,Andrew Jarecki,The Weinstein Company
adventure,Rapa Nui,Kevin Reynolds,"Tig Productions,Majestic Films International,Warner Bros.,Newcomm,RCS"
"comedy,drama,family,fantasy,science fiction",長江七號,Stephen Chow,Columbia Pictures Film Production Asia
"comedy,fantasy",Les Visiteurs 2 : Les Couloirs du temps,Jean-Marie Poir\u00e9,"Gaumont,Canal+,France 3 Cinema,Centre National de la Cinématographie (CNC)"
"action,comedy,horror,mystery,science fiction",Dylan Dog: Dead of Night,Kevin Munroe,"Hyde Park Films,platinum studios,Long Distance Films"
"drama,thriller",People I Know,Daniel Algrant,
"drama,fantasy",The Tempest,Julie Taymor,"Miramax Films,Touchstone Pictures"
"horror,mystery,thriller",Regression,Alejandro Amen\u00e1bar,"The Weinstein Company,Himenóptero,First Generation Films,Mod Producciones,FilmNation Entertainment,Telefónica Studios"
"action,drama,history",三国之见龙卸甲,Daniel Lee,"Visualizer Film Productions,Taewon Entertainment"
"crime,drama,thriller",Butterfly on a Wheel,Mike Barker,"Icon Productions,Infinity Features Entertainment,Irish Dreamtime,Icon Entertainment International,Canadian Film or Video Production Tax Credit (CPTC),Province of British Columbia Film Incentive BC,Butterfly Productions,Chum Television"
"adventure,animation,comedy,family",Zambezia,Wayne Thornley,"Industrial Development Corporation of South Africa,120dB Films,The Department of Trade and Industry of South Africa,Cinema Management Group,The National Film and Video Foundation of SA,Wonderful Works,Triggerfish Animation"
"drama,history",ராமானுஜன்,Gnana Rajasekaran,Camphor Cinema
animation,Dwegons,Tom Walsh,
drama,Hands of Stone,Jonathan Jakubowicz,"Weinstein Company, The,La Piedra Films,Fuego Films,Epicentral Studios"
thriller,Survivor,James McTeigue,"Nu Image Films,Winkler Films,Millennium Films,Survivor Productions"
"crime,thriller",The Frozen Ground,Scott Walker,"Grindstone Entertainment Group,Cheetah Vision,K5 International,Paradox Entertainment,Emmett/Furla Films,Picture Perfect Corporation,Court Five,Envision Entertainment,Valentina Films"
"drama,romance",The Painted Veil,John Curran,"Emotion Pictures,The Mark Gordon Company,Class 5 Films,Yari Film Group,Warner China Film HG Corporation,Stratus Film Co.,WIP,Bob Yari Productions,The Colleton Company,Dragon Studios"
"action,crime,drama,history,thriller",Der Baader Meinhof Komplex,Uli Edel,"Nouvelles Éditions de Films (NEF),Degeto Film,Constantin Film Produktion,Westdeutscher Rundfunk (WDR),Norddeutscher Rundfunk (NDR),Bayerischer Rundfunk (BR),Dune Films,G.T. Film Production"
"adventure,drama,western",Dances with Wolves,Kevin Costner,"Tig Productions,Majestic Films International"
comedy,Bad Teacher,Jake Kasdan,"Columbia Pictures,Mosaic Media Group"
"crime,drama,mystery",Sea of Love,Harold Becker,Universal Pictures Corporation
comedy,A Cinderella Story,Mark Rosman,"Gaylord Films,Warner Bros.,Dylan Sellers Productions,Clifford Werber Productions"
"crime,horror,mystery",Scream,Wes Craven,"Woods Entertainment,Dimension Films"
"horror,thriller",Thir13en Ghosts,Steve Beck,"Columbia Pictures Corporation,Dark Castle Entertainment,Warner Bros.,13 Ghosts Productions Canada Inc."
"horror,thriller",The Shining,Stanley Kubrick,"Hawk Films,Warner Bros.,Peregrine"
"adventure,comedy,family,science fiction",Back to the Future,Robert Zemeckis,"Universal Pictures,Amblin Entertainment,U-Drive Productions"
"horror,mystery,thriller",House on Haunted Hill,William Malone,"Dark Castle Entertainment,Warner Bros."
"comedy,drama",I Can Do Bad All By Myself,Tyler Perry,Lions Gate Films
"action,drama",Fight Valley,Rob Hawk,Cinestyle Media Group
"comedy,drama,romance",The Switch,Josh Gordon,"Mandate Pictures,Bona Fide Productions,Echo Films"
comedy,Just Married,Shawn Levy,"Twentieth Century Fox Film Corporation,Robert Simonds Productions,Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
"action,crime,drama,thriller,war",The Devil's Double,Lee Tamahori,"Corrino Media Corporation,Corsan,Staccato Films"
"animation,drama,family,science fiction",Thomas and the Magic Railroad,Britt Allcroft,"Destination Films,Isle of Man Film,Britt Allcroft Productions"
"action,horror,mystery",The Crazies,Breck Eisner,"Penn Station Entertainment,Participant Media,Imagenation Abu Dhabi FZ,Overture Films"
"adventure,animation,family,fantasy",千と千尋の神隠し,Hayao Miyazaki,Studio Ghibli
"action,crime",風暴,Alan Yuen,"Focus Films,Sil-Metropole Organisation,Edko Films"
"action,drama,history",The Bounty,Roger Donaldson,Dino De Laurentiis Company
drama,The Book Thief,Brian Percival,"Studio Babelsberg,Fox 2000 Pictures,Sunswept Entertainment"
"adventure,comedy,romance",Sex Drive,Sean Anders,"Summit Entertainment, LLC,Alloy Entertainment,Goldcrest Pictures"
"comedy,romance",Leap Year,Anand Tucker,"Universal Pictures,Spyglass Entertainment,Octagon Films,BenderSpink,Birnbaum / Barber Productions"
"drama,history",The Fall of the Roman Empire,Anthony Mann,"Paramount Pictures,Samuel Bronston Productions"
"comedy,drama,romance",Take Me Home Tonight,Michael Dowse,"Imagine Entertainment,Rogue Pictures,Relativity Media,Internationale Filmproduktion Blackbird Dritte"
drama,Won't Back Down,Daniel Barnz,"Gran Via Productions,Walden Media,Lemodeln Model & Talent Agency"
"family,fantasy,music",The Nutcracker,Emile Ardolino,Warner Bros. Family Entertainment
"crime,drama,music,thriller",Kansas City,Robert Altman,"Fine Line Features,CiBy 2000,Sandcastle 5 Productions"
drama,Indignation,James Schamus,Likely Story
"drama,horror,thriller",The Amityville Horror,Andrew Douglas,"Platinum Dunes,Dimension Films,Metro-Goldwyn-Mayer (MGM),Radar Pictures"
"comedy,crime,drama",Adaptation.,Spike Jonze,"Beverly Detroit,Propaganda Films,Clinica Estetico,Intermedia,Good Machine,Magnet Productions"
horror,Land of the Dead,George A. Romero,"Universal Pictures,Atmosphere Entertainment MM,Romero-Grunwald Productions,Exception Wild Bunch"
action,逃出生天,Danny Pang,"Sun Entertainment Culture,Universe Entertainment"
"adventure,comedy,drama",Fear and Loathing in Las Vegas,Terry Gilliam,"Universal Pictures,Summit Entertainment,Rhino Films,Fear and Loathing LLC,Shark Productions"
"comedy,fantasy,romance",The Invention of Lying,Ricky Gervais,"Media Rights Capital,Lin Pictures,Warner Bros.,Wintergreen Productions,Lynda Obst Productions,1821 Pictures,Radar Pictures"
comedy,Neighbors,Nicholas Stoller,"Universal Pictures,Point Grey Pictures,Good Universe"
"comedy,crime,fantasy,romance",The Mask,Chuck Russell,"New Line Cinema,Dark Horse Entertainment"
"comedy,drama,family,fantasy,romance",Big,Penny Marshall,"Gracie Films,Twentieth Century Fox Film Corporation,American Entertainment Partners II L.P."
comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,"Twentieth Century Fox Film Corporation,Four By Two Productions"
comedy,Legally Blonde,Robert Luketic,"Marc Platt Productions,Metro-Goldwyn-Mayer (MGM)"
